"Period","Date","Date2","Treatment","Site","choice","dung_density","Activity","Ind_Secs"
0,2016-09-21,2016-12-20,"CONT","Jericho","ELEPHANT",0,"dcount",3.38947368421053
0,2016-09-21,2016-12-20,"CONT","Jericho","ELEPHANT",0,"ddrink",0.947368421052632
0,2016-09-21,2016-12-20,"CONT","Jericho","ELEPHANT",0,"dgraze",2.13947368421053
0,2016-09-21,2016-12-20,"CONT","Jericho","BUFFALO",0,"dcount",14.0458621052632
0,2016-09-21,2016-12-20,"CONT","Jericho","BUFFALO",0,"ddrink",0
0,2016-09-21,2016-12-20,"CONT","Jericho","BUFFALO",0,"dgraze",4.12807052631579
0,2016-09-21,2016-12-20,"CONT","Jericho","CATTLE",7.11111111111111,"dcount",94.7415021052632
0,2016-09-21,2016-12-20,"CONT","Jericho","CATTLE",7.11111111111111,"ddrink",2.15263126315789
0,2016-09-21,2016-12-20,"CONT","Jericho","CATTLE",7.11111111111111,"dgraze",52.8449333684211
0,2016-09-21,2016-12-20,"CONT","Jericho","ZEBRA",18,"dcount",156.534738947368
0,2016-09-21,2016-12-20,"CONT","Jericho","ZEBRA",18,"ddrink",20.6390097894737
0,2016-09-21,2016-12-20,"CONT","Jericho","ZEBRA",18,"dgraze",85.1767575263158
0,2016-09-21,2016-12-20,"CONT","Jericho","IMPALA",0.902,"dcount",19.6496484210526
0,2016-09-21,2016-12-20,"CONT","Jericho","IMPALA",0.902,"ddrink",0
0,2016-09-21,2016-12-20,"CONT","Jericho","IMPALA",0.902,"dgraze",7.14736842105263
0,2016-09-21,2016-12-20,"CONT","Jericho","GIRAFFE",1.25,"dcount",3.71663157894737
0,2016-09-21,2016-12-20,"CONT","Jericho","GIRAFFE",1.25,"ddrink",0
0,2016-09-21,2016-12-20,"CONT","Jericho","GIRAFFE",1.25,"dgraze",0.465263157894737
3,2017-01-12,2017-04-12,"CONT","Jericho","ELEPHANT",0,"dcount",5.63565606382979
3,2017-01-12,2017-04-12,"CONT","Jericho","ELEPHANT",0,"ddrink",0.303191489361702
3,2017-01-12,2017-04-12,"CONT","Jericho","ELEPHANT",0,"dgraze",2.95124117021277
3,2017-01-12,2017-04-12,"CONT","Jericho","BUFFALO",0,"dcount",0.763297872340426
3,2017-01-12,2017-04-12,"CONT","Jericho","BUFFALO",0,"ddrink",0.281914893617021
3,2017-01-12,2017-04-12,"CONT","Jericho","BUFFALO",0,"dgraze",0.172872340425532
3,2017-01-12,2017-04-12,"CONT","Jericho","CATTLE",11.5555555555556,"dcount",177.143939361702
3,2017-01-12,2017-04-12,"CONT","Jericho","CATTLE",11.5555555555556,"ddrink",29.0109829787234
3,2017-01-12,2017-04-12,"CONT","Jericho","CATTLE",11.5555555555556,"dgraze",123.454470212766
3,2017-01-12,2017-04-12,"CONT","Jericho","ZEBRA",20,"dcount",214.208896542553
3,2017-01-12,2017-04-12,"CONT","Jericho","ZEBRA",20,"ddrink",47.7593176914894
3,2017-01-12,2017-04-12,"CONT","Jericho","ZEBRA",20,"dgraze",136.010339414894
3,2017-01-12,2017-04-12,"CONT","Jericho","IMPALA",0.176,"dcount",9.10620535106383
3,2017-01-12,2017-04-12,"CONT","Jericho","IMPALA",0.176,"ddrink",0
3,2017-01-12,2017-04-12,"CONT","Jericho","IMPALA",0.176,"dgraze",1.79787234042553
3,2017-01-12,2017-04-12,"CONT","Jericho","GIRAFFE",0.208333333333333,"dcount",7.42512627659574
3,2017-01-12,2017-04-12,"CONT","Jericho","GIRAFFE",0.208333333333333,"ddrink",1.85258361702128
3,2017-01-12,2017-04-12,"CONT","Jericho","GIRAFFE",0.208333333333333,"dgraze",2.46732521276596
6,2017-03-22,2017-06-20,"CONT","Jericho","ELEPHANT",0,"dcount",0.138888888888889
6,2017-03-22,2017-06-20,"CONT","Jericho","ELEPHANT",0,"ddrink",0
6,2017-03-22,2017-06-20,"CONT","Jericho","ELEPHANT",0,"dgraze",0
6,2017-03-22,2017-06-20,"CONT","Jericho","BUFFALO",0,"dcount",0.243055555555556
6,2017-03-22,2017-06-20,"CONT","Jericho","BUFFALO",0,"ddrink",0
6,2017-03-22,2017-06-20,"CONT","Jericho","BUFFALO",0,"dgraze",0.138888888888889
6,2017-03-22,2017-06-20,"CONT","Jericho","CATTLE",0,"dcount",161.378536111111
6,2017-03-22,2017-06-20,"CONT","Jericho","CATTLE",0,"ddrink",27.9487361111111
6,2017-03-22,2017-06-20,"CONT","Jericho","CATTLE",0,"dgraze",108.572380555556
6,2017-03-22,2017-06-20,"CONT","Jericho","ZEBRA",20,"dcount",47.8137880555556
6,2017-03-22,2017-06-20,"CONT","Jericho","ZEBRA",20,"ddrink",3.70370341666667
6,2017-03-22,2017-06-20,"CONT","Jericho","ZEBRA",20,"dgraze",16.3311291666667
6,2017-03-22,2017-06-20,"CONT","Jericho","IMPALA",0.132,"dcount",4.25
6,2017-03-22,2017-06-20,"CONT","Jericho","IMPALA",0.132,"ddrink",0.138888888888889
6,2017-03-22,2017-06-20,"CONT","Jericho","IMPALA",0.132,"dgraze",0.416666666666667
6,2017-03-22,2017-06-20,"CONT","Jericho","GIRAFFE",0,"dcount",7.02777777777778
